id,type,ebox_id,lat,lon
AA0000018B7E,light,AA0000011290,41.28382,1.722691
AA0000018B7F,light,AA0000011290,41.283356,1.722518
AA0000018B80,light,AA0000011290,41.28324,1.72295
AA0000018B81,light,AA0000011290,41.283688,1.722314
AA0000018B82,light,AA0000011290,41.284044,1.723109
AA0000018B83,light,AA0000011290,41.283592,1.723063
AA0000018B84,light,AA0000011290,41.2835,1.722457
AA0000018B85,light,AA0000011290,41.283568,1.722668
AA0000018B86,light,AA0000011290,41.283812,1.723087
AA0000018B87,light,AA0000011290,41.283512,1.722132
AA0000018B88,light,AA0000011290,41.283472,1.723135
AA0000018B89,light,AA0000011290,41.283236,1.722786
AA0000018B8A,light,AA0000011290,41.283256,1.72278
AA0000018B8B,light,AA0000011290,41.28348,1.722797
AA0000018B8C,light,AA0000011290,41.280828,1.723579
AA0000018B8D,light,AA0000011290,41.283248,1.722804
AA0000018B8E,light,AA0000011276,41.269772,1.734581
AA0000018B8F,light,AA0000011276,41.26972,1.734258
AA0000018B90,light,AA0000011276,41.269544,1.735903
AA0000018B91,light,AA0000011276,41.269652,1.735598
AA0000018B92,light,AA0000011276,41.269752,1.735261
AA0000018B93,light,AA0000011276,41.269788,1.734959
AA0000018B94,light,AA0000011290,41.281832,1.723442
AA0000018B95,light,AA0000011290,41.282816,1.723612
AA0000018B96,light,AA000001169B,41.284116,1.719936
AA0000018B97,light,AA0000011290,41.283916,1.724275
AA0000018B98,light,AA0000011290,41.280504,1.723183
AA0000018B99,light,AA000001169B,41.286204,1.720642
AA0000018B9A,light,AA0000011290,41.285008,1.723631
AA0000018B9B,light,AA0000011290,41.285864,1.723737
AA0000018B9C,light,AA0000011290,41.28752,1.724227
AA0000018B9D,light,AA0000011290,41.28706,1.723846
AA0000018B9E,light,AA0000011290,41.286328,1.723794
AA0000018B9F,light,AA0000011290,41.287752,1.724464
AA0000018BA0,light,AA0000011290,41.288144,1.72412
AA0000018BA1,light,AA0000011290,41.288896,1.724267
AA0000018BA2,light,AA0000011290,41.287428,1.723902
AA0000018BA3,light,AA0000011290,41.289208,1.724387
AA0000018BA4,light,AA0000011290,41.288548,1.724168
AA0000018BA5,light,AA0000011290,41.287808,1.723924
AA0000018BA6,light,AA0000011290,41.283088,1.72343
AA0000018BA7,light,AA0000011290,41.28398,1.723569
AA0000018BA8,light,AA0000011290,41.280476,1.723223
AA0000018BA9,light,AA0000011290,41.28306,1.723487
AA0000018BAA,light,AA0000011290,41.283576,1.723479
AA0000018BAB,light,AA0000011290,41.279752,1.723098
AA0000018BAC,light,AA0000011290,41.281164,1.72334
AA0000018BAD,light,AA0000011290,41.28516,1.723553
AA0000018BAE,light,AA0000011290,41.284876,1.723429
AA0000018BAF,light,AA0000011290,41.282304,1.723544
AA0000018BB0,light,AA0000011290,41.285216,1.723671
AA0000018BB3,light,AA0000011290,41.283784,1.723735
AA0000018BB4,light,AA0000011290,41.289572,1.7245
AA0000018BB5,light,AA0000011290,41.285024,1.7236
AA0000018BB6,light,AA0000011290,41.284672,1.723463
AA0000018BB7,light,AA0000011290,41.28108,1.722953
AA0000018BB8,light,AA000001169B,41.285244,1.722086
AA0000018BB9,light,AA000001169B,41.285264,1.72209
AA0000018BBA,light,AA000001169B,41.285144,1.722196
AA0000018BBB,light,AA000001169B,41.285284,1.721456
AA0000018BBC,light,AA000001169B,41.285248,1.722108
AA0000018BBD,light,AA000001169B,41.28516,1.722206
AA0000018BBE,light,AA000001169B,41.284952,1.721759
AA0000018BBF,light,AA000001169B,41.285008,1.721548
AA0000018BC0,light,AA000001169B,41.285108,1.721652
AA0000018BC1,light,AA000001169B,41.284944,1.721878
AA0000018BC2,light,AA000001169B,41.28496,1.721644
AA0000018BC3,light,AA000001169B,41.285068,1.721543
AA0000018BC4,light,AA000001169B,41.285088,1.721885
AA0000018BC5,light,AA000001169B,41.284936,1.722091
AA0000018BC6,light,AA000001169B,41.2853,1.721456
AA0000018BC7,light,AA000001169B,41.2851,1.721772
AA0000018BC8,light,AA000001169B,41.285072,1.722116
AA0000018BC9,light,AA000001169B,41.285024,1.722031
AA0000018BCA,light,AA000000D44C,41.27544,1.721305
AA0000018BCB,light,AA000000D44C,41.276072,1.721757
AA0000018BCC,light,AA000000D44C,41.276628,1.722295
AA0000018BCD,light,AA000000D44C,41.275128,1.721084
AA0000018BCE,light,AA000000D44C,41.275756,1.721553
AA0000018BCF,light,AA000000D44C,41.276348,1.722027
AA0000018BD0,light,AA000000D44C,41.277556,1.723005
AA0000018BD1,light,AA000000D44C,41.278224,1.723341
AA0000018BD2,light,AA000000D44C,41.278928,1.723678
AA0000018BD3,light,AA000000D44C,41.277248,1.722809
AA0000018BD4,light,AA000000D44C,41.277884,1.723171
AA0000018BD5,light,AA000000D44C,41.278568,1.72351
AA0000018BD6,light,BB0005190147,41.290192,1.724316
AA0000018BD7,light,AA000000D44C,41.278136,1.724323
AA0000018BD8,light,AA000000D44C,41.278776,1.724029
AA0000018BD9,light,AA000000D44C,41.279344,1.723742
AA0000018BDA,light,AA000000D44C,41.2779,1.724409
AA0000018BDC,light,AA000001169B,41.28948,1.719511
AA0000018BDD,light,AA0000011290,41.281572,1.723532
AA0000018BDE,light,AA0000011290,41.28102,1.724048
AA0000018BE0,light,AA000001169B,41.289576,1.718011
AA0000018BE1,light,AA0000011290,41.280972,1.723866
AA0000018BE2,light,AA00000112BE,41.2968,1.711551
AA0000018BE4,light,AA000001169B,41.2895,1.719533
