id,type,ebox_id,lat,lon,coordinates,zone
AA00000196A9,light,BB0005190122,41.27626,1.699775,"{'lat': 41.27626, 'lon': 1.699775}",south_west
AA00000196AA,light,AA000001169B,41.290024,1.718147,"{'lat': 41.290024, 'lon': 1.718147}",center_north
AA00000196AC,light,AA000001169B,41.288912,1.719883,"{'lat': 41.288912, 'lon': 1.719883}",center_north
AA00000196AD,light,AA000001169B,41.28864,1.720448,"{'lat': 41.28864, 'lon': 1.720448}",center_north
AA00000196AE,light,AA000001169B,41.289864,1.718952,"{'lat': 41.289864, 'lon': 1.718952}",center_north
AA00000196B0,light,BB0005190121,41.270496,1.709653,"{'lat': 41.270496, 'lon': 1.709653}",south_west
AA00000196B1,light,BB0005190121,41.270704,1.709885,"{'lat': 41.270704, 'lon': 1.709885}",south_west
AA00000196B2,light,BB0005190121,41.270956,1.71004,"{'lat': 41.270956, 'lon': 1.71004}",south_west
AA00000196B3,light,BB0005190122,41.269972,1.698367,"{'lat': 41.269972, 'lon': 1.698367}",south_west
AA00000196B7,light,AA000001128F,41.286616,1.721335,"{'lat': 41.286616, 'lon': 1.721335}",center
AA00000196B8,light,AA000001128F,41.28774,1.721477,"{'lat': 41.28774, 'lon': 1.721477}",center_north
AA00000196BA,light,BB0005190121,41.269552,1.708556,"{'lat': 41.269552, 'lon': 1.708556}",south_west
AA00000196BB,light,BB0005190121,41.269664,1.708247,"{'lat': 41.269664, 'lon': 1.708247}",south_west
AA00000196BC,light,BB0005190121,41.26974,1.707995,"{'lat': 41.26974, 'lon': 1.707995}",south_west
AA00000196BD,light,BB0005190121,41.269784,1.708246,"{'lat': 41.269784, 'lon': 1.708246}",south_west
AA00000196BE,light,BB0005190122,41.272736,1.696483,"{'lat': 41.272736, 'lon': 1.696483}",south_west
AA00000196BF,light,BB0005190122,41.272568,1.696177,"{'lat': 41.272568, 'lon': 1.696177}",south_west
AA00000196C0,light,BB0005190122,41.27242,1.702631,"{'lat': 41.27242, 'lon': 1.702631}",south_west
AA00000196C1,light,BB0005190122,41.272412,1.702348,"{'lat': 41.272412, 'lon': 1.702348}",south_west
AA00000196C2,light,BB0005190122,41.2724,1.702012,"{'lat': 41.2724, 'lon': 1.702012}",south_west
AA00000196C3,light,BB0005190122,41.272352,1.701746,"{'lat': 41.272352, 'lon': 1.701746}",south_west
AA00000196C4,light,BB0005190122,41.272096,1.70166,"{'lat': 41.272096, 'lon': 1.70166}",south_west
AA00000196C5,light,BB0005190122,41.271924,1.701766,"{'lat': 41.271924, 'lon': 1.701766}",south_west
AA00000196C6,light,BB0005190121,41.269344,1.709267,"{'lat': 41.269344, 'lon': 1.709267}",south_west
AA00000196C7,light,BB0005190121,41.269416,1.708969,"{'lat': 41.269416, 'lon': 1.708969}",south_west
AA00000196C8,light,BB0005190123,41.268712,1.703033,"{'lat': 41.268712, 'lon': 1.703033}",south_west
AA00000196C9,light,BB0005190123,41.268692,1.702798,"{'lat': 41.268692, 'lon': 1.702798}",south_west
AA00000196CA,light,BB0005190122,41.271864,1.695771,"{'lat': 41.271864, 'lon': 1.695771}",south_west
AA00000196CB,light,BB0005190122,41.271596,1.695634,"{'lat': 41.271596, 'lon': 1.695634}",south_west
AA00000196CC,light,BB0005190122,41.271336,1.69561,"{'lat': 41.271336, 'lon': 1.69561}",south_west
AA00000196CD,light,BB0005190122,41.272104,1.703349,"{'lat': 41.272104, 'lon': 1.703349}",south_west
AA00000196CE,light,BB0005190122,41.272324,1.695985,"{'lat': 41.272324, 'lon': 1.695985}",south_west
AA00000196CF,light,BB0005190122,41.272072,1.695872,"{'lat': 41.272072, 'lon': 1.695872}",south_west
AA00000196D0,light,BB0005190122,41.27084,1.696602,"{'lat': 41.27084, 'lon': 1.696602}",south_west
AA00000196D1,light,BB0005190122,41.272604,1.697075,"{'lat': 41.272604, 'lon': 1.697075}",south_west
AA00000196D2,light,BB0005190122,41.275528,1.699667,"{'lat': 41.275528, 'lon': 1.699667}",south_west
AA00000196D3,light,BB0005190122,41.2746,1.701019,"{'lat': 41.2746, 'lon': 1.701019}",south_west
AA00000196D4,light,BB0005190122,41.274764,1.700945,"{'lat': 41.274764, 'lon': 1.700945}",south_west
AA00000196D5,light,BB0005190122,41.275072,1.700762,"{'lat': 41.275072, 'lon': 1.700762}",south_west
AA00000196D6,light,BB0005190122,41.275844,1.700304,"{'lat': 41.275844, 'lon': 1.700304}",south_west
